"title","abstract","authors","link","date","source","initial_decision","q0","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","extraction_date","expert_decision","o1","ID","q13","subject","exclusion_reason"
"Michigan county to continue services during ‘stay home’ order","Residents of Muskegon County in Michigan will still have access to mental health services to combat the negative effects of social isolation during the three-week man-date, mlive.com reported March 24. HealthWest, a community mental health center in Muskegon, will continue to provide behavioral health and substance use treatment during the stay-at-home order issued March 24 by Gov. Gretchen Whitmer, the center announced in a news release. Whitmer banned all non-essential travel and ordered the closure of most businesses for three weeks to slow the spread of COVID-19 across the state. ?Extended isolation puts the individuals we serve at risk, and our staff is here to help make sure those we serve know they are not alone,? HealthWest Executive Director Julia Rupp in a released statement. Although the health center has closed most of its facilities to limit the number of face-to-face meetings, HealthWest has increased the use of telemedicine and virtual meetings to continue serving patients. ?While we may have closed most of our facilities, our staff is still working around the clock to assist those in services,? Rupp said. ?We want those we serve to have the support they need during this crisis.?","","https://doi.org/10.1002/mhw.32301","2020","WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",195,"FALSE"," Normative guidance; Epidemiology",""
"Amid conference cancellations, leaders advance with support","In the wake of the COVID-19 pandemic and in the interest of keeping staff, employees and consumers with mental health and substance use disorders safe, many organizations have had to cancel scheduled conferences and annual meetings. Officials and leaders, meanwhile, are moving forward with helping their members and the public stay safe during this outbreak.","Canady, Valerie A.","https://doi.org/10.1002/mhw.32285","2020","WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",210,"FALSE"," Opinion piece; Ethics, social science, economics",""
"Online mental health services in China during the COVID-19 outbreak.",NA,"Liu, Yang, Zhang, Xiang, Liu, Hu, Zhang","https://doi.org/10.1016/S2215-0366(20)30077-8","20200325","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",278,"FALSE","China; Coronavirus Infections; Counseling; Disease Outbreaks; Emergency Medical Services; Humans; Internet; Mental Health; Mental Health Services; Pneumonia, Viral; Practice Guidelines as Topic; Public Health; Telemedicine",""
"Iranian mental health during the COVID-19 epidemic","","Zandifar, Atefeh; Badrfam, Rahim","https://www.doi.org/10.1016/j.ajp.2020.101990","20200630","Elsevier","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",300,"FALSE",NA,""
"A Qualitative Study on the Psychological Experience of Caregivers of COVID-19 Patients","Background The coronavirus disease 2019 (COVID-19) is spreading rapidly, bringing pressure and challenges to nursing staff. Objective To explore the psychology of nurses caring for COVID-19 patients. Method Using a phenomenological approach, we enrolled 20 nurses who provided care for COVID-19 patients in the First Affiliated Hospital of Henan University of Science and Technology from 20 January to 10 February 2020. The interviews were conducted face-to-face or by telephone and were analysed by Colaizzi's 7-step method. Results The psychological experience of nurses caring for COVID-19 patients can be summarized into four themes. Firstly, negative emotions present in early stage consisting of fatigue, discomfort, and helplessness was caused by high-intensity work, fear and anxiety, and concern for patients and family members. Secondly, self-coping styles included psychological and life adjustment, altruistic acts, team support, and rational cognition. Thirdly, we found growth under pressure, which included increased affection and gratefulness, development of professional responsibility, and self-reflection. Finally, we showed that positive emotions occurred simultaneously with negative emotions. Conclusions During an epidemic outbreak, positive and negative emotions of the front-line nurses interweaved and coexisted. In the early stage, negative emotions were dominant and positive emotions appeared gradually. Self-coping styles and psychological growth played an important role in maintaining mental health of nurses.","Sun, Niuniu; Shi, Suling; Jiao, Dandan; Song, Runluo; Ma, Lili; Wang, Hongwei; Wang, Chao; Wang, Zhaoguo; You, Yanli; Liu, Shuhua; Wang, Hongyun","https://doi.org/10.1016/j.ajic.2020.03.018","2020","WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-09","","",302,"FALSE","",""
"Clinical and surgical consequences of the COVID-19 pandemic for patients with pediatric urological problems: Statement of the EAU guidelines panel for paediatric urology, March 30 2020.","The COVID-19-pandemic forces hospitals to reorganize into a dual patient flow system. Healthcare professionals are forced to make decisions in patient prioritization throughout specialties. Most pediatric urology pathologies do not require immediate or urgent care, however, delay may compromise future renal function or fertility. Contact with patients and parents, either physical in safe conditions or by (video)telephone must continue. The Paediatric-Urology-Guidelines-panel of the EAU proposes ","Quaedackers, Stein, Bhatt, Dogan, Hoen, Nijman, Radmayr, Silay, Tekgul, Bogaert","https://doi.org/10.1016/j.jpurol.2020.04.007","20200415","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-16","","",343,"FALSE",NA,""
"Mental health and a novel coronavirus (2019-nCoV) in China","","Zheng, Wei","https://www.doi.org/10.1016/j.jad.2020.03.041","20200321","Elsevier","Exclude","AJ","Other","letter","","","","","Discussion of MH impacts- nil mention suicide/ SH","","","","","TRUE","2020-04-16","Exclude","",369,"FALSE",NA,""
"Impact on mental health and perceptions of psychological care among medical and nursing staff in Wuhan during the 2019 novel coronavirus disease outbreak: A cross-sectional study","Abstract The severe 2019 outbreak of novel coronavirus disease (COVID-19), which was first reported in Wuhan, would be expected to impact the mental health of local medical and nursing staff and thus lead them to seek help. However, those outcomes have yet to be established using epidemiological data. To explore the mental health status of medical and nursing staff and the efficacy, or lack thereof, of critically connecting psychological needs to receiving psychological care, we conducted a quantitative study. This is the first paper on the mental health of medical and nursing staff in Wuhan. Notably, among 994 medical and nursing staff working in Wuhan, 36.9% had subthreshold mental health disturbances (mean PHQ-9: 2.4), 34.4% had mild disturbances (mean PHQ-9: 5.4), 22.4% had moderate disturbances (mean PHQ-9: 9.0), and 6.2% had severe disturbance (mean PHQ-9: 15.1) in the immediate wake of the viral epidemic. The noted burden fell particularly heavily on young women. Of all participants, 36.3% had accessed psychological materials (such as books on mental health), 50.4% had accessed psychological resources available through media (such as online push messages on mental health self-help coping methods), and 17.5% had participated in counseling or psychotherapy. Trends in levels of psychological distress and factors such as exposure to infected people and psychological assistance were identified. Although staff accessed limited mental healthcare services, distressed staff nonetheless saw these services as important resources to alleviate acute mental health disturbances and improve their physical health perceptions. These findings emphasize the importance of being prepared to support frontline workers through mental health interventions at times of widespread crisis.","Kang, Lijun; Ma, Simeng; Chen, Min; Yang, Jun; Wang, Ying; Li, Ruiting; Yao, Lihua; Bai, Hanping; Cai, Zhongxiang; Xiang Yang, Bing; Hu, Shaohua; Zhang, Kerang; Wang, Gaohua; Ma, Ci; Liu, Zhongchun","https://www.doi.org/10.1016/j.bbi.2020.03.028","20200330","Elsevier","Exclude","","","","","","","","","","","","","FALSE","2020-04-16","","",370,"FALSE",NA,""
"Community-acquired pneumonia among children: the latest evidence for an updated management","Abstract Objective To provide cutting-edge information for the management of community-acquired pneumonia in children under 5 years, based on the latest evidence published in the literature. Data source A comprehensive search was conducted in PubMed, by using the expressions: “community-acquired pneumonia” AND “child” AND “etiology” OR “diagnosis” OR “severity” OR “antibiotic”. All articles retrieved had the title and the abstract read, when the papers reporting the latest evidence on each subject were identified and downloaded for complete reading. Data synthesis In the era of largely implemented bacterial conjugate vaccines and widespread use of amplification nucleic acid techniques, respiratory viruses have been identified as the most frequent causative agents of community-acquired pneumonia in patients under 5 years. Hypoxemia (oxygen saturation = 96%) and increased work of breathing are signs most associated with community-acquired pneumonia. Wheezing detected on physical examination independently predicts viral infection and the negative predictive value (95% confidence interval) of normal chest X-ray and serum procalcitonin < 0.25 ng/dL was 92% (77-98%) and 93% (90-99%), respectively. Inability to drink/feed, vomiting everything, convulsions, lower chest indrawing, central cyanosis, lethargy, nasal flaring, grunting, head nodding, and oxygen saturation < 90% are predictors of death and can be used as indicators for hospitalization. Moderate/large pleural effusions and multilobar infiltrates are predictors of severe disease. Orally administered amoxicillin is the first line outpatient treatment, while ampicillin, aqueous penicillin G, or amoxicillin (initiated initially by intravenous route) are the first line options to treat inpatients. Conclusions Distinct aspects of childhood community-acquired pneumonia have changed during the last three decades. Resumo Objetivo Fornecer informações de ponta para o manejo de crianças menores de cinco anos com pneumonia adquirida na comunidade, com base nas evidências mais recentes publicadas na literatura. Fonte de dados Uma pesquisa abrangente foi feita no PubMed, com as expressões: “community-acquired pneumonia” + “child” + “etiology” ou “diagnosis” ou “severity” ou “antibiotic”. Todos os artigos encontrados tiveram o título e o resumo lidos e os artigos que relatavam as evidências mais recentes sobre cada assunto foram identificados e recuperados para leitura completa. Síntese dos dados Na era das vacinas bacterianas conjugadas amplamente usadas e do uso difundido de técnicas de amplificação de ácidos nucléicos, os vírus respiratórios foram identificados como os agentes causadores mais frequentes de pneumonia adquirida na comunidade em pacientes com menos de cinco anos. A hipoxemia (saturação de oxigênio = 96%) e o aumento do esforço respiratório são os sinais mais associados à pneumonia adquirida na comunidade. A sibilância detectada ao exame físico prediz de forma independente a infecção viral e o valor preditivo negativo (intervalo de confiança de 95%) da radiografia de tórax normal e a procalcitonina sérica < 0,25 ng/dL foi de 92% (77-98%) e 93% (90-99%), respectivamente. Incapacidade de beber e se alimentar, vomitar todo o alimento, convulsões, retração torácica subcostal, cianose central, letargia, aleteo nasal, estridor e saturação de oxigênio < 90% são preditores de óbito e podem ser usados como indicadores de hospitalização. Derrames pleurais moderados/grandes e infiltrados multilobulares são preditores de doença grave. A amoxicilina administrada por via oral é a opção de primeira linha para tratar pacientes ambulatoriais e a ampicilina ou penicilina cristalina G ou amoxicilina (administrada inicialmente por via intravenosa) são as opções de primeira linha para tratar pacientes hospitalizados. Conclusões Aspectos distintos da pneumonia adquirida na comunidade durante a infância mudaram durante as últimas três décadas.","Nascimento-Carvalho, Cristiana M.","https://www.doi.org/10.1016/j.jpedp.2019.08.002","20200430","Elsevier","Exclude","","","","","","","","","","","","","FALSE","2020-04-16","","",375,"FALSE",NA,""
"Are we facing a crashing wave of neuropsychiatric sequelae of COVID-19? Neuropsychiatric symptoms and potential immunologic mechanisms.","The coronavirus disease 19 (COVID-19) pandemic is a significant psychological stressor in addition to its tremendous impact on every facet of individuals' lives and organizations in virtually all social and economic sectors worldwide. Fear of illness and uncertainty about the future precipitate anxiety- and stress-related disorders, and several groups have rightfully called for the creation and dissemination of robust mental health screening and treatment programs for the general public and fron","Troyer, Kohn, Hong","https://doi.org/10.1016/j.bbi.2020.04.027","20200416","PubMed","Exclude","AJ","Other","Review","","","","","Neuropsychiatry not mention suicde","","","","","TRUE","2020-04-17","Exclude","",379,"FALSE","COVID-19; Coronavirus pandemic; post-viral neuropsychiatric sequelae; public mental health",""
"Mental health effects of school closures during COVID-19.",NA,"Lee","https://doi.org/10.1016/S2352-4642(20)30109-7","20200417","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-20","","",406,"FALSE",NA,""
"Covid-19 and mental health: a transformational opportunity to apply an evidence-based approach to clinical practice and research.",NA,"Smith, Ostinelli, Cipriani","https://doi.org/10.1136/ebmental-2020-300155","20200422","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-23","","",424,"FALSE","adult psychiatry; depression &amp; mood disorders; schizophrenia &amp; psychotic disorders; suicide &amp; self-harm",""
"Nosocomial infections in psychiatric hospitals during the new coronavirus pneumonia outbreak.","Since mid-December 2019, a new coronavirus pneumonia (NCP) has emerged in China. It was reported that Wuhan Mental Health Center in China was affected from the very beginning of the outbreak. Coincidentally, another large-scale nosocomial infection occurred at the psychiatric ward of the Daenam Hospital in South Korea. It is important for the policymakers to pay full attention on this aspect worldwide and corresponding prevention recommendations should be provided.","Ji, Li, Huang, Zhu","https://doi.org/10.1016/j.ejpsy.2020.04.001","20200421","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-23","","",437,"FALSE","Coronavirus; Nosocomial infection; Pneumonia",""
"The COVID-19 outbreak and psychiatric hospitals in China: managing challenges through mental health service reform","Recently, more than 300 Chinese patients with psychiatric disorders were diagnosed with the 2019 novel coronavirus disease (COVID-19). Possible reasons quoted in the report were the lack of caution regarding the COVID-19 outbreak in January and insufficient supplies of protective gear. We outlined major challenges for patients with psychiatric disorders and mental health professionals during the COVID-19 outbreak, and also discussed how to manage these challenges through further mental health service reform in China.","Xiang, Yu-Tao; Zhao, Yan-Jie; Liu, Zi-Han; Li, Xiao-Hong; Zhao, Na; Cheung, Teris; Ng, Chee H.","https://doi.org/10.7150/ijbs.45072","2020","WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",187,"FALSE","",""
"Posttraumatic stress symptoms and attitude toward crisis mental health services among clinically stable patients with COVID-19 in China","","Bo, Hai-Xin; Li, Wen; Yang, Yuan; Wang, Yu; Zhang, Qinge; Cheung, Teris; Wu, Xinjuan; Xiang, Yu-Tao","https://doi.org/10.1017/S0033291720000999",NA,"WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",190,"FALSE"," Case study/series; Ethics, social science, economics",""
"COVID-19 outbreak represents a new way of mental health service delivery","Increased mental health disorders, prolonged isolation, hospital bed adequacy, lost revenue and staff safety are among the myriad of concerns the field is dealing with in the wake of the COVID-19 epidemic. And for some staff, protective gear is in order.","Canady, Valerie A.","https://doi.org/10.1002/mhw.32282","2020","WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",211,"FALSE"," Opinion piece; Clinical aspects, diagnosis, treatment",""
"Covid-19 pandemic: a public and global mental health opportunity for social transformation?",NA,"Ahmad, Mueller, Tsamakis","https://doi.org/10.1136/bmj.m1383","20200407","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",238,"FALSE",NA,""
"Mental Health and Psychological Intervention Amid COVID-19 Outbreak: Perspectives from South Korea.",NA,"Jung, Jun","https://doi.org/10.3349/ymj.2020.61.4.271","20200402","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","Exclude","",251,"FALSE",NA,""
"The COVID-19 outbreak and psychiatric hospitals in China: managing challenges through mental health service reform.","Recently, more than 300 Chinese patients with psychiatric disorders were diagnosed with the 2019 novel coronavirus disease (COVID-19). Possible reasons quoted in the report were the lack of caution regarding the COVID-19 outbreak in January and insufficient supplies of protective gear. We outlined major challenges for patients with psychiatric disorders and mental health professionals during the COVID-19 outbreak, and also discussed how to manage these challenges through further mental health se","Xiang, Zhao, Liu, Li, Zhao, Cheung, Ng","https://doi.org/10.7150/ijbs.45072","20200403","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",256,"FALSE","COVID-19; psychiatric disorders; Betacoronavirus; China; Coronavirus Infections; Disease Outbreaks; Health Care Reform; Hospitals, Psychiatric; Humans; Mental Disorders; Mental Health Services; Pandemics; Pneumonia, Viral; Psychiatry; Quarantine",""
"Seven tips to manage your mental health and well-being during the COVID-19 outbreak.",NA,"Dickerson","https://doi.org/10.1038/d41586-020-00933-5","20200328","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",260,"FALSE","Careers; Health care; Lab life",""
"[The network investigation on knowledge, attitude and practice about Novel coronavirus pneumonia of the residents in Anhui Province].","Objective: To analyze the current situation of the knowledge, attitudes and practice about Novelcoronavirus pneumonia (NCP) of the residents in Anhui Province. Methods: Anonymous network sampling survey was carried out with an electronic questionnaire that designed by the questionnaire star, and a total of 4016 subjects from Anhui province were investigated. The content of the survey includes that the basic information of subjects,the residents' knowledge, attitudes and practice about NCP, as we","Chen, Jin, Zhu, Fang, Wu, Du, Jiang, Wang, Yao","https://doi.org/10.3760/cma.j.issn.0253-9624.2020.0004","20200217","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",280,"FALSE","Novel coronavirus pneumonia; attitude; knowledge; practice",""
"<U+8B77><U+7406><U+4EBA><U+54E1><U+7167><U+8B77><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+611F><U+67D3><U+75C5><U+60A3><U+5FC3><U+9748><U+8A18><U+4E8B>-<U+67D0><U+4E2D><U+53F0><U+7063><U+91AB><U+9662><U+7684>2<U+4F8B><U+7D93><U+9A57>","<U+672C><U+6587><U+662F><U+70BA><U+7167><U+8B77><U+5169><U+4F4D><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+75BE><U+75C5>Coronavirus disease 2019(COVID-19)<U+611F><U+67D3><U+500B><U+6848><U+5165><U+4F4F><U+8CA0><U+58D3><U+9694><U+96E2><U+75C5><U+623F><U+5F8C>,<U+75C5><U+4EBA><U+6240><U+9762><U+81E8><U+8EAB><U+9AD4><U+3001><U+5FC3><U+7406><U+3001><U+8207><U+793E><U+6703><U+7B49><U+5404><U+65B9><U+9762><U+6539><U+8B8A><U+6240><U+5F15><U+767C><U+7684><U+8B77><U+7406><U+554F><U+984C><U+3002><U+7B46><U+8005><U+85C9><U+7531><U+81E8><U+5E8A><U+89C0><U+5BDF><U+53CA><U+96FB><U+8A71><U+8A2A><U+8AC7><U+8490><U+96C6><U+8CC7><U+6599>,<U+63D0><U+4F9B><U+5408><U+5B9C>,<U+500B><U+5225><U+8B77><U+7406><U+63AA><U+65BD>,<U+5305><U+542B><U+9F13><U+52F5><U+500B><U+6848><U+60C5><U+7DD2><U+6292><U+767C><U+8207><U+8010><U+5FC3><U+50BE><U+807D><U+5FC3><U+4E2D><U+611F><U+53D7>,<U+9069><U+6642><U+63D0><U+4F9B><U+9069><U+7576><U+7684><U+5FC3><U+7406><U+652F><U+6301><U+3002><U+5229><U+7528><U+97F3><U+6A02><U+7D13><U+58D3>,<U+5F15><U+5C0E><U+500B><U+6848><U+4EE5><U+6B63><U+5411><U+614B><U+5EA6><U+9762><U+5C0D><U+6B64><U+6B21><U+75BE><U+75C5>,<U+540C><U+6642><U+5354><U+52A9><U+500B><U+6848><U+5728><U+51FA><U+9662><U+5F8C><U+6062><U+5FA9><U+6B63><U+5E38><U+751F><U+6D3B>,<U+5E0C><U+671B><U+6B64><U+5831><U+544A><U+80FD><U+63D0><U+4F9B><U+8B77><U+7406><U+4EBA><U+54E1><U+5728><U+7167><U+9867><U+985E><U+4F3C><U+500B><U+6848><U+4E4B><U+53C3><U+8003><U+3002> We reported our nursing experience about caring two cases for Coronavirus disease 2019 (COVID-19) infected diseases patients, mainly focused on the mental health care. Patients admitted in the negative pressure isolation ward might having care needs in physical, mental, and social dimensions. According to our clinical observation and telephone interviews with patients, we suggested personalized nursing cares by listening, music relaxation, and emotional expression might be the suitable methods to lead patients to release their acute stress status.","<U+674E><U+5468><U+71D5>; <U+51CC><U+6B63><U+83EF>; <U+5289><U+7FCE><U+73B2>; <U+8449><U+9E97><U+6708>; <U+6D2A><U+5F18><U+660C>","https://www.google.com/search?q=<U+8B77><U+7406><U+4EBA><U+54E1><U+7167><U+8B77><U+65B0><U+578B><U+51A0><U+72C0><U+75C5><U+6BD2><U+611F><U+67D3><U+75C5><U+60A3><U+5FC3><U+9748><U+8A18><U+4E8B>-<U+67D0><U+4E2D><U+53F0><U+7063><U+91AB><U+9662><U+7684>2<U+4F8B><U+7D93><U+9A57>","2020","WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-13","","",329,"FALSE","",""
"Health-Related-Quality of Life in Common Variable Immunodeficiency Italian patients switched to remote assistance during the COVID-19 pandemic.","A rapidly expanding epidemic of the new coronavirus has become the focus of global scientific attention. Data are lacking on impact of SARS-CoV-2 pandemic on Health-Related Quality of Life among patients affected by Primary Antibody Deficiencies. to identify factors impacting the Health-Related-Quality of Life among Italian patients affected by Primary Antibody Deficiencies switched to remote assistance at the time of the COVID-19 pandemic. Survey on quality of life in 158 Primary Antibody Defic","Pulvirenti, Cinetto, Milito, Bonanni, Pesce, Leodori, Garzi, Miglionico, Tabolli, Quinti","https://doi.org/10.1016/j.jaip.2020.04.003","20200412","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-13","","",332,"FALSE","COVID-19; Common Variable Immune Deficiencies; Coronavirus; General Health Questionnaire; Health-related Quality of life; SARS-CoV-2 pandemic; anxiety; depression; remote assistance",""
"COVID-19 pandemic and lockdown measures impact on mental health among the general population in Italy. An N=18147 web-based survey.","Background The psychological impact of the COronaVIrus Disease 2019 (COVID-19) outbreak and lockdown measures on the Italian population are unknown. The current study assesses rates of mental health outcomes in the Italian general population three to four weeks into lockdown measures and explores the impact of COVID-19 related potential risk factors. Methods A web-based survey spread throughout the internet between March 27th and April 6th 2020. 18147 individuals completed the questionnaire, 79.6% women. Selected outcomes were post-traumatic stress symptoms (PTSS), depression, anxiety, insomnia, perceived stress and adjustment disorder symptoms (ADS). Seemingly unrelated logistic regression analysis was performed to identify COVID-19 related risk factors. Results Respondents endorsing PTSS, depression, anxiety, insomnia, high perceived stress and adjustment disorder were 6604 (37%), 3084 (17.3%), 3700 (20.8%), 1301 (7.3%), 3895 (21.8%) and 4092 (22.9%), respectively. Being woman and younger age were associated with all of the selected outcomes. Quarantine was associated with PTSS, anxiety and ADS. Any recent COVID-related stressful life event was associated with all the selected outcomes. Discontinued working activity due to the COVID-19 was associated with all the selected outcomes, except for ADS; working more than usual was associated with PTSS, Perceived stress and ADS. Having a loved one deceased by COVID-19 was associated with PTSS, depression, perceived stress and insomnia. Conclusion We found high rates of negative mental health outcomes in the Italian general population three weeks into the COVID-19 lockdown measures and different COVID-19 related risk factors. These findings warrant further monitoring on the Italian population s mental health.","Rossi, R.; Socci, V.; Talevi, D.; Mensi, S.; Niolu, C.; Pacitti, F.; Di Marco, A.; Rossi, A.; Siracusano, A.; Di Lorenzo, G.","https://www.medrxiv.org/content/10.1101/2020.04.09.20057802v1?rss=1""","20200414","medRxiv","Exclude","","","","","","","","","","","","","FALSE","2020-04-16","","",335,"FALSE",NA,""
"Demand Analysis and Management Suggestion: Sharing Epidemiological Data Among Medical Institutions in Megacities for Epidemic Prevention and Control.","During the prevention of coronavirus disease 2019 (COVID-19), epidemiological data is essential for controlling the source of infection, cutting off the route of transmission, and protecting vulnerable populations. Following Law of the People's Republic of China on Prevention and Treatment of Infectious Diseases and other related regulations, medical institutions have been authorized to collect the detailed information of patients, while it is still a formidable task in megacities because of the","Cai, Mi, Chu, Zheng, Chen, Liu","https://doi.org/10.1007/s12204-020-2166-3","20200414","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-16","","",347,"FALSE","big data sharing; epidemic prevention and control; medical institutions; megacities",""
"Treating the Mental Health Effects of COVID-19: The Need for At-Home Neurotherapeutics Is Now.",NA,"Caulfield, George","https://doi.org/10.1016/j.brs.2020.04.005","20200415","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-16","","",354,"FALSE",NA,""
"If not now, when?","The editor of the BJPsych Bulletin reflects on the extraordinary recent events triggered by the COVID-19 pandemic. Mental health professionals are at the front line of managing the pandemic and emergency changes should lead to a much needed refocus on what is really vital. In these unsettling times we ought to review how we manage the crisis, and its aftermath, both personally and professionally.","Poole","https://doi.org/10.1192/bjb.2020.37","20200414","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-16","","",363,"FALSE","COVID-19; mental health services; resilience",""
"Hopelessness, helplessness and resilience: The importance of safeguarding our trainees' mental wellbeing during the COVID-19 pandemic","• The COVID-19 pandemic may put the mental wellbeing of trainees at risk. • Hopelessness, helplessness and burnout are important to be aware of. • We need to foster an open culture of trust and support. • We need to promote resilience in colleagues/trainees where possible.","Shaw, Sebastian C.K.","https://www.doi.org/10.1016/j.nepr.2020.102780","20200331","Elsevier","Exclude","","","","","","","","","","","","","FALSE","2020-04-16","","",377,"FALSE",NA,""
"Reflections about the impact of the SARS-COV-2/COVID-19 pandemic on mental health.",NA,"Santos","https://doi.org/10.1590/1516-4446-2020-0981","20200422","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-23","","",419,"FALSE",NA,""
"Epidemic of COVID-19 in China and associated Psychological Problems.","The world is experiencing pandemic of the COVID-19 now, a RNA virus that spread out from Wuhan, China. Two countries, China first and later Italy, have gone to full lock down due to rapid spread of this virus. Till to date, no epidemiological data on mental health problems due to outbreak of the COVID-19 and mass isolation were not available. To meet this need, the present study was undertaken to assess the mental health status of Chinese people. An online survey was conducted on a sample of 107","Ahmed, Ahmed, Aibao, Hanbin, Siyu, Ahmad","https://doi.org/10.1016/j.ajp.2020.102092","20200421","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-23","","",429,"FALSE","Alcohol use disorder; Anxiety; COVID-19; China; Depression; Epidemic",""
"Mental Health Services in Lombardy during COVID-19 outbreak.","Lombardy is the Region in Italy the most heavily affected by coronavirus disease (COVID-19) contagion. The Regional Health Authority mandates that mental health services should be guaranteed, identifying mental health as a priority for their citizens. Recommendations for occupational and health safety have been provided to patients and hospital staff, including support for telemedicine activities and remote psychosocial interventions. Services of the Mental Health Departments of Milano &quot;Nig","Percudani, Corradin, Moreno, Indelicato, Vita","https://doi.org/10.1016/j.psychres.2020.112980","20200421","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-23","","",432,"FALSE","Coronavirus disease 2019; Lombardy; Psychiatric services",""
"Obesity is associated with severe forms of COVID-19.","We have read with great interest the Brief Cutting Edge Report from Simonnet et al. which reports a high prevalence of obesity in severe acute respiratory syndrome coronavirus-2 (SARS-Cov-2) requiring invasive mechanical ventilation. In the context of unprecedented health crisis due to the coronavirus disease 2019 (COVID-19) outbreak, these results are of a great importance and may have major implications in public health strategy especially in western countries affected by a high prevalence of ","Caussy, Wallet, Laville, Disse","https://doi.org/10.1002/oby.22842","20200421","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-23","","",435,"FALSE",NA,""
"Study of the mental health status of medical personnel dealing with new coronavirus pneumonia","Objective: This paper studied the relationship between personality traits and mental health conditions of medical personnel to provide a basis and reference for the implementation of targeted education on mental health. Methods: A self-report inventory, the Symptom Checklist-90 (SCL-90), was used to investigate the mental health status of 548 medical personnel dealing with the new coronavirus pneumonia in eight provinces and cities of China. Results: The overall mean SCL-90 score and mean values of factors (somatization, obsessive-compulsive, anxiety, phobic anxiety, and psychoticism) of the medical personnel were significantly higher than in the norm group (p < 0.05), while their average interpersonal sensitivity score was significantly lower (p < 0.01). In addition, personal factors affecting the mental health status of medical personnel were identified. ( all p < 0.05). Conclusion: The overall mental health status of medical personnel responding to new coronavirus pneumonia is generally higher than that of the norm group in China. The results of this study should contribute to measures to alleviate the psychological pressures on medical personnel dealing with the new coronavirus epidemic in China","sun, n.; xing, j.; xu, j.; geng, l. s.; li, q. y.","https://www.medrxiv.org/content/10.1101/2020.03.04.20030973v1?rss=1""","20200306","medRxiv","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",157,"FALSE",NA,""
"DEA, SAMHSA relax OTP/OBOT regulations due to COVID-19","Opioid treatment programs (OTPs) that dispense methadone got a fast and clear reprieve from federal authorities last week in the face of COVID-19. The Drug Enforcement Administration (DEA) and the Substance Abuse and Mental Health Services Administration (SAMHSA) issued policies that give OTPs flexibility in take-homes, limiting the frequency of face-to-face contact and opportunities for transmission of COVID-19. There is also greater flexibility for office-based opioid treatment (OBOT) with buprenorphine.","Knopf, Alison","https://doi.org/10.1002/adaw.32664","2020","WHO","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",208,"FALSE"," Normative guidance; Ethics, social science, economics",""
"Mental health care for international Chinese students affected by the COVID-19 outbreak.",NA,"Zhai, Du","https://doi.org/10.1016/S2215-0366(20)30089-4","20200325","PubMed","Exclude","","","","","","","","","","","","","FALSE","2020-04-08","","",267,"FALSE","Adolescent; Adult; China; Coronavirus Infections; Counseling; Health Services Accessibility; Humans; Internationality; Mental Health; Mental Health Services; Patient Advocacy; Pneumonia, Viral; Social Discrimination; Social Isolation; Students; Travel; Triage; Young Adult",""
"The emotional impact of COVID-19: From medical staff to common people.",NA,"Montemurro","https://doi.org/10.1016/j.bbi.2020.03.032","20200408","PubMed","Exclude","DG","Other","Duplicate 248. Brief letter. No original data presented. ","","","","","Duplicate of 248","","","","","FALSE","2020-04-09","Exclude","",311,"FALSE","COVID-19; Coronavirus; Mental health; Neuroscience; SARS-CoV",""
