title,abstract,authors,link,date,source,initial_decision,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,extraction_date,expert_decision,o1,ID,q13,exclusion_reason,subject
Public Perceptions of Biofuels - Case Study: Frames of Biofuel Discussion in the Finnish Context,"Biofuels are fuels made of biological materials and they can be used in cars, trucks and other engines. The EU's policy and regulatory framework for bioeconomy and biofuels is seen as a multi-layered and complex issue. Policies around biofuels have developed recently in the EU. Renewable Energy Directive II established a binding target for the use of renewable energy across the European Union by 2030 to be 32% of the total energy production. Finland is a country where the utilization of forest biomass has traditions ranging back centuries and continues in the present day with bioenergy holding a central role in the Finnish energy matrix. Our case study is focused on examining the public perceptions of biofuels in Finland and is linked to the discussion about climate change, global warming, and sustainable development. We used a stakeholder approach and mapped key stakeholders in the biofuel sector in Finland from six stakeholder categories: corporations, governmental actors, non-governmental organisations (NGOs), municipalities, universities, and the media. We selected 59 online publications for our analysis from a time period between 2010-2019. Frame analysis was conducted using three pairs of polarised frames: environmental positive and negative, economic positive and negative, and technological positive and negative. The results show that for the most part the framing of biofuel discussion in Finland is positive and emphasizes the environmentally and economically positive aspects. The negative aspects that came to front are especially in the notions of economic costs and in arguments for environmental calculations. The EU legislation itself is seen as a background to all this discussion and is itself not scrutinized extensively by the various stakeholders.",Elina Siivari et al.,https://share.osf.io/preprint/4611E-1D8-1AC,20200204,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2798,FALSE,,
"A Word of Caution about Many Labs 4: If You Fail to Follow Your Preregistered Plan, You May Fail to Find a Real Effect","A team of 37 researchers (Many Labs 4; Klein et al., 2019) has recently reported that it has failed to replicate the effect of mortality salience on worldview defense ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ a classic finding from terror management theory (TMT). This collaborative project (21 labs, N = 2220) has the potential to provide useful information regarding the robustness of an often-replicated and influential empirical finding. However, Klein et al. (2019) deviated from their preregistered plan by including smaller samples than specified in their pre-registration. This undisclosed deviation from their plan is problematic because it undermines the potential benefits of pre-registration; indeed, the negative results of their meta-analyses appear to be predominantly driven by small studies. We reanalyzed the Many Labs 4 data after excluding studies that did not meet the preregistered minimum sample size (40 participants per cell). Results showed that the data actually do replicate the original study. This successful replication emerged only in the expert advice variation of these studies, which addresses one of the purposes of this study by showing that replication is more likely to occur when researchers follow the advice of researchers with considerable experience in this domain. We discuss the importance of following preregistered plans to avoid misleading conclusions and potential issues involved with literal replications of effects that may depend on societal zeitgeist at the time data are collected.",Armand Chatard et al.,https://share.osf.io/preprint/460AE-42B-C0C,20200207,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2799,FALSE,,
Cognitive reappraisal and expressive suppression relate differentially to longitudinal structural brain development across adolescence,"The ability to regulate emotions is crucial for well-being and adaptive social functioning. Emotional disorders commonly emerge in adolescence, a period characterized by changes in emotion and emotion-related processes, making emotion regulation a principal developmental task. Concurrently, the brain undergoes large structural and functional changes. We investigated relationships between two emotion regulation strategies, cognitive reappraisal and expressive suppression, and development of cortical thickness, as well as amygdala and nucleus accumbens volumes. A total of 112 participants (59 females) aged 8-19 at inclusion were followed for up to 3 times over a 7-year-period, providing 272 observations. Participants completed the Emotion Regulation Questionnaire (ERQ), yielding measures of cognitive reappraisal and expressive suppression. Relations between emotion regulation and brain development were analyzed using linear mixed models. Contrary to expectations, volumetric growth of amygdala and nucleus accumbens was not associated with either emotion regulation strategy. However, frequent use of expressive suppression was linked to greater regionally specific apparent cortical thinning in both sexes, while cognitive reappraisal was associated with greater regionally specific apparent thinning in females and less thinning in males. In contrast to the traditionally emphasized role of frontal control regions in cognitive reappraisal, the results also imply involvement of cortical regions associated with social cognition and semantics.",Lia Ferschmann et al.,https://share.osf.io/preprint/4622C-D98-873,20200207,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2800,FALSE,,
Social and Economic Costs of Attention- Deficit/Hyperactivity Disorder Across the Lifespan,"Objectives: Attention-Deficit/Hyperactivity Disorder (ADHD) is prevalent though few studies have comprehensively considered the total social and economic impacts of ADHD across the lifespan. Methods: The costs of ADHD in Australia were estimated for the financial year 2018-19 using a prevalence approach to cost estimation across all ages. This entailed calculating the financial costs attached to healthcare, productivity, and education and justice systems, as well as deadweight losses. Non-financial wellbeing costs (Disability Adjusted Life Years (DALYs)) were added to these financial costings. Results: The total social and economic cost of ADHD in 2018-19 were AUD20.4 billion, a per person cost of AUD25,071 per year. Productivity costs make up 81% of the total financial costs, followed by deadweight losses (11%), health system costs (6%), with other costs including educational and crime and justice costs of 3%. In addition to imposing significant financial costs, ADHD results in impaired functioning that leads to a significant loss in terms of wellbeing (AUD7.6 billion). Conclusions: There is a need to raise public awareness of the considerable socioeconomic impact and burden of ADHD in order to drive investment and policy decisions that improve identification and treatment of ADHD, and to reduce these lifelong impacts.",Emma Sciberras et al.,https://share.osf.io/preprint/460B1-D27-FD2,20200217,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2801,FALSE,,
Exploring the Use of Immersive Virtual Reality to enhance psychological wellbeing in Pediatric Oncology,"Background Objectives: To investigate whether Immersive Virtual Reality (VR) has a greater positive influence on oncology patientsÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ physical and emotional mood states when compared to an iPad attentional control condition. Our secondary objective was to understand what factors influenced VR effectiveness. Method: Participants were 90 oncology inpatients, aged 7-19 years, and their primary parent caregiver. Using a randomised controlled study design patients were allocated to VR (three content groups) or an iPad control condition. Pre-post-intervention self-report state measures were collected using visual analogue scales and an objective measure of physiological arousal (pulse rate). Post-intervention, patients reported on level of immersion, enjoyment and simulator sickness. Results: Patients benefited from both Immersive VR and novel iPad intervention with no statistically significant differences found between conditions on child outcomes. However, patients accessing Immersive VR consistently reported greater positive shifts in mood state and reductions in negative symptoms when compared with iPad. No change was observed in physiological arousal levels (pulse rate) in either condition before, during or immediately after intervention. Moderation analysis showed that the degree of child illness (PedsQL), sex, age, and level of immersion were important in influencing the magnitude of differences between the VR and iPad conditions on mood, anxiety and pain. Conclusion: These preliminary findings support the use of Immersive VR in clinical oncology settings to improve patient wellbeing. Further studies examining the application of Immersive VR in supporting children adjusting to hospitalization and cancer treatment are therefore warranted. Factors found to moderate VR effectiveness provide important clinical implications.",Michelle Tennant et al.,https://share.osf.io/preprint/461D5-491-AFD,20200219,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2802,FALSE,,
The processing of pseudoword form and meaning in production and comprehension: A computational modeling approach using Linear Discriminative Learning,"Pseudowords have long served as key tools in psycholinguistic investigations of the lexicon. A common assumption underlying the use of pseudowords is that they are devoid of meaning: Comparing words and pseudowords may then shed light on how meaningful linguistic elements are processed differently from meaningless sound strings. However, pseudowords may in fact carry meaning. On the basis of a computational model of lexical processing, Linear Discriminative Learning (LDL Baayen et al., 2019), we compute numeric vectors representing the semantics of pseudowords. We demonstrate that quantitative measures gauging the semantic neighborhoods of pseudowords predict reaction times in the Massive Auditory Lexical Decision (MALD) database (Tucker et al., 2018). We also show that the model successfully predicts the acoustic durations of pseudowords. Importantly, model predictions hinge on the hypothesis that the mechanisms underlying speech production and comprehension interact. Thus, pseudowords emerge as an outstanding tool for gauging the resonance between production and comprehension. Many pseudowords in the MALD database contain inflectional suffixes. Unlike many contemporary models, LDL captures the semantic commonalities of forms sharing inflectional exponents without using the linguistic construct of morphemes. We discuss methodological and theoretical implications for models of lexical processing and morphological theory. The results of this study, complementing those on real words reported in Baayen et al. (2019), thus provide further evidence for the usefulness of LDL both as a cognitive model of the mental lexicon, and as a tool for generating new quantitative measures that are predictive for human lexical processing.",Yu-Ying Chuang et al.,https://share.osf.io/preprint/46107-19A-790,20200219,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2803,FALSE,,
A Report from the NIMBioS/DySoC Investigative Workshop on the Mathematics of Gun Violence,"Gun violence is a central public concern in the United States, annually leading to the deaths of 36,000 individuals and the non-fatal injuries of 85,000 others. It has been called an epidemic and a public health crisis. In May of 2019, a diverse group of researchers participated in a workshop at the University of Tennessee, Knoxville. This workshop was sponsored by the Center for the Dynamics of Social Complexity (DySoC) and the National Institute for Mathematical and Biological Synthesis (NIMBioS). The objectives of this workshop were to review the existing approaches on the mathematics and modeling of gun violence, identify and prioritize areas in the field that require further research, develop cross-disciplinary collaborations to gain new perspectives, and suggest research and data collection that could assist evidence-based policy recommendations. The purpose of this report is to present some of the responses to the mentioned objectives and to suggest areas of future research .",Shelby Scott,https://share.osf.io/preprint/4621F-C96-698,20200220,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2804,FALSE,,
Developmental change in partition dependent resource allocation behavior,"Partition dependence, the tendency to distribute choices differently based on the way options are grouped, has important implications for decision making. This phenomenon, observed in adults across a variety of contexts such as allocating resources or making selections from a menu of items, can bias decision makers toward some choices and away from others. Only one study to date (Reichelson, Zax, Patalano, & Barth, 2019) has investigated the developmental trajectory of this phenomenon. In the current study we investigate childrenÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s and adultsÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ susceptibility to partitioning effects in a child-friendly resource allocation task. In Experiment 1 (N = 80), adults distributed 12 food tokens to animals at the zoo. Based on previous findings that older children show weaker partition dependence in this task, we predicted that adults might exhibit reduced partition dependent behavior: they showed none. In Experiment 2 (N = 272), we used a less transparent task with only five food tokens, predicting that both adults and children (ages 3-10 years) would show partition dependence. Children, but not adults, made partition dependent resource allocations, with younger children exhibiting greater effects than older children. These experiments provide further evidence that childrenÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s decisions, like adultsÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ (in other tasks), are influenced by the arbitrary partitioning of the available options. This work supports previous findings that younger children may be more susceptible to these effects, and maps developmental change in partition dependent behavior from early childhood to adulthood on this child-friendly partition dependence task.",Katherine Williams et al.,https://share.osf.io/preprint/46070-815-465,20200227,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2805,FALSE,,
"Chinese publicÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s knowledge, perceived severity, and perceived controllability of the COVID-19 and their associations with emotional and behavioural reactions, social participation, and precautionary behaviour: A national survey","The outbreak of the coronavirus disease-19 (COVID-19) has caused enormous stress among the public in China. Intellectual input from various aspects is needed to control the COVID-19, including the understanding of the publicÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s emotion and behaviour and their antecedents from the psychological perspectives. Drawing upon the cognitive appraisal theory, this study examined three cognitive appraisals (i.e., knowledge, perceived severity and perceived controllability of the COVID-19) and their associations with a wide range of emotional and behavioural outcomes among the Chinese public. Participants were 4607 citizens (age range: 17ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“90 years, Mage=23.71 years) from 31 provinces in China and they took part in an online survey. The results showed that the publicÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s emotional and behavioural reactions were slightly affected by the outbreak of the COVID-19. Moreover, the public had limited participation in the events regarding the COVID-19 but actively engaged in precautionary behaviour. In addition, results of hierarchical regression analysis revealed that the three appraisals were differentially related to the outcome variables. Theoretically, the findings highlight the utility of cognitive appraisal, as a core process of coping stress, in explaining the publicÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s emotion and behaviour in the encounter of public health concern. Practically, the findings facilitate the government and practitioners to design and deliver targeted intervention programs to the public affected by the COVID-19.",Jian Bin Li et al.,https://share.osf.io/preprint/46017-75C-072,20200228,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2806,FALSE,,
The pressure to communicate efficiently continues to shape language use later in life,"Language use is shaped by a pressure to communicate efficiently, yet the tendency towards redundancy is said to increase in older age. The longstanding assumption is that saying more than is necessary is inefficient and may be driven by age-related decline in inhibition (i.e. the ability to filter out irrelevant information). However, recent work proposes an alternative account of efficiency: In certain contexts, redundancy facilitates communication (e.g., when the colour or size of an object is perceptually salient and its mention aids the listenerÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s search). A critical question follows: Are older adults indiscriminately redundant, or do they modulate their use of redundant information to facilitate communication? We tested efficiency and cognitive capacities in 200 adults aged 19-82. Irrespective of age, adults with better attention switching skills were redundant in efficient ways, demonstrating that the pressure to communicate efficiently continues to shape language use in later life.",Madeleine Long et al.,https://share.osf.io/preprint/46176-E15-EE0,20200228,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2807,FALSE,,
Intrinsic Religiosity Attenuates the Negative Relationship Between Social Disconnection and Meaning in Life,"Positive social connections are integral to peopleÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s experience of meaning in their lives. As such, social isolation can make life seem meaningless. Chan, Michalak, and Ybarra (2019, Journal of Personality) provided evidence that religious beliefs (not just participation in corporate religious life) can provide an alternative source of meaning for people who feel socially isolated. We tested whether this phenomenon was specific to (a) intrinsic vs. extrinsic orientations toward religion, and (b) experiencing meaning in oneÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s life at present vs. actively searching for meaning. In a sample of undergraduates, high levels of intrinsicÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Âbut not extrinsicÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Âreligiosity attenuated the relationship between social disconnection and decreased meaning in life. Moreover, this attenuation was specific to felt presence of meaning in life, rather than active search for meaning. These results corroborate and expand Chan et al.ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s findings and suggest that future research should explore mechanisms by which religious beliefs themselves serve meaning-making functions.",Caleb Joshua Reynolds et al.,https://share.osf.io/preprint/460B8-538-BEB,20200304,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2808,FALSE,,
Are people excessively pessimistic about the risk of coronavirus infection?,"The recent emergence of the SARS-CoV-2 in China has raised the spectre of a novel, potentially catastrophic pandemic in both scientific and lay communities throughout the world. In this particular context, people have been accused of being excessively pessimistic regarding the future consequences of this emerging health threat. However, consistent with previous research in social psychology, a large survey conducted in Europe in the early stage of the COVID-19 epidemic shows that the majority of respondents was actually overly optimistic about the risk of infection.",Jocelyn Raude et al.,https://share.osf.io/preprint/461E2-54B-A57,20200308,Psy- and SocArXiv,Exclude,,,,,,,,,,,,,FALSE,2020-06-15,,,2809,FALSE,,
